Country_ID,Country_label,region,sub-region,intermediate-region
1,Afghanistan,Asia,Southern Asia,
2,Albania,Europe,Southern Europe,Balkans
3,Algeria,Africa,Northern Africa,
4,American Samoa,Oceania,Polynesia,
5,Andorra,Europe,Southern Europe,
6,Angola,Africa,Sub-Saharan Africa,Middle Africa
7,Anguilla,Americas,Latin America and the Caribbean,Caribbean
8,Antigua And Barbuda,Americas,Latin America and the Caribbean,Caribbean
9,Argentina,Americas,Latin America and the Caribbean,South America
10,Armenia,Asia,Western Asia,
11,Aruba,Americas,Latin America and the Caribbean,Caribbean
12,Australia,Oceania,Australia and New Zealand,
13,Austria,Europe,Western Europe,
14,Azerbaijan,Asia,Western Asia,
15,Bahamas,Americas,Latin America and the Caribbean,Caribbean
16,Bahrain,Asia,Western Asia,
17,Bangladesh,Asia,Southern Asia,
18,Barbados,Americas,Latin America and the Caribbean,Caribbean
19,Belarus,Europe,Eastern Europe,
20,Belgium,Europe,Western Europe,
21,Belize,Americas,Latin America and the Caribbean,Central America
22,Benin,Africa,Sub-Saharan Africa,Western Africa
23,Bermuda,Americas,Northern America,
24,Bhutan,Asia,Southern Asia,
25,Bolivia,Americas,Latin America and the Caribbean,South America
26,Bosnia And Herzegovina,Europe,Southern Europe,Balkans
27,Botswana,Africa,Sub-Saharan Africa,Southern Africa
28,Brazil,Americas,Latin America and the Caribbean,South America
29,British Virgin Islands,Americas,Latin America and the Caribbean,
30,Brunei,Asia,South-eastern Asia,
31,Bulgaria,Europe,Eastern Europe,
32,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa
33,Burundi,Africa,Sub-Saharan Africa,Eastern Africa
34,Cambodia,Asia,South-eastern Asia,
35,Cameroon,Africa,Sub-Saharan Africa,Middle Africa
36,Canada,Americas,Northern America,
37,Cape Verde,Africa,Sub-Saharan Africa,Western Africa
38,Chad,Africa,Sub-Saharan Africa,Middle Africa
39,Chile,Americas,Latin America and the Caribbean,South America
40,China,Asia,Eastern Asia,
41,Colombia,Americas,Latin America and the Caribbean,South America
42,Comoros,Africa,Sub-Saharan Africa,Eastern Africa
43,Congo,Africa,Sub-Saharan Africa,Middle Africa
44,Cook Islands,Oceania,Polynesia,
45,Costa Rica,Americas,Latin America and the Caribbean,Central America
46,Croatia,Europe,Southern Europe,
47,Cuba,Americas,Latin America and the Caribbean,Caribbean
48,Curacao,Americas,Latin America and the Caribbean,Caribbean
49,Cyprus,Asia,Western Asia,
50,Czech Republic,Europe,Eastern Europe,
51,Denmark,Europe,Northern Europe,
52,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa
53,Dominica,Americas,Latin America and the Caribbean,Caribbean
54,Dominican Republic,Americas,Latin America and the Caribbean,Caribbean
55,Ecuador,Americas,Latin America and the Caribbean,South America
56,Egypt,Africa,Northern Africa,
57,El Salvador,Americas,Latin America and the Caribbean,Central America
58,Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa
59,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa
60,Estonia,Europe,Northern Europe,
61,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa
62,Falkland Islands,Americas,Latin America and the Caribbean,South America
63,Faroe Islands,Europe,Northern Europe,
64,Fiji,Oceania,Melanesia,
65,Finland,Europe,Northern Europe,
66,France,Europe,Western Europe,
67,French Guiana,Americas,Latin America and the Caribbean,South America
68,French Polynesia,Oceania,Polynesia,
69,Gabon,Africa,Sub-Saharan Africa,Middle Africa
70,Gambia,Africa,Sub-Saharan Africa,Western Africa
71,Georgia,Asia,Western Asia,
72,Germany,Europe,Western Europe,
73,Ghana,Africa,Sub-Saharan Africa,Western Africa
74,Gibraltar,Europe,Southern Europe,
75,Greece,Europe,Southern Europe,Balkans
76,Greenland,Americas,Northern America,
77,Guadeloupe,Americas,Latin America and the Caribbean,Caribbean
78,Guatemala,Americas,Latin America and the Caribbean,Central America
79,Guinea,Africa,Sub-Saharan Africa,Western Africa
80,Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa
81,Guyana,Americas,Latin America and the Caribbean,South America
82,Haiti,Americas,Latin America and the Caribbean,Caribbean
83,Honduras,Americas,Latin America and the Caribbean,Central America
84,Hong Kong,Asia,Eastern Asia,
85,Hungary,Europe,Eastern Europe,
86,Iceland,Europe,Northern Europe,
87,India,Asia,Southern Asia,
88,Indonesia,Asia,South-eastern Asia,
89,Iran,Asia,Southern Asia,
90,Iraq,Asia,Western Asia,
91,Ireland,Europe,Northern Europe,
92,Isle Of Man,Europe,Northern Europe,
93,Israel,Asia,Western Asia,
94,Italy,Europe,Southern Europe,
95,Ivory Coast,Africa,Sub-Saharan Africa,Western Africa
96,Jamaica,Americas,Latin America and the Caribbean,Caribbean
97,Japan,Asia,Eastern Asia,
98,Jersey,Europe,Northern Europe,Channel Islands
99,Jordan,Asia,Western Asia,
100,Kazakhstan,Asia,Central Asia,
101,Kenya,Africa,Sub-Saharan Africa,Eastern Africa
102,Kosovo (Disputed Territory),Europe,Southern Europe,Balkans
103,Kuwait,Asia,Western Asia,
104,Kyrgyzstan,Asia,Central Asia,
105,Laos,Asia,South-eastern Asia,
106,Latvia,Europe,Northern Europe,
107,Lebanon,Asia,Western Asia,
108,Lesotho,Africa,Sub-Saharan Africa,Southern Africa
109,Liberia,Africa,Sub-Saharan Africa,Western Africa
